Title,Price,Final Price,Link
Dome Keeper Deluxe Edition,10.66,12.79,https://www.instant-gaming.com/fr/13002-acheter-dome-keeper-deluxe-edition-deluxe-edition-pc-mac-jeu-steam/
Wo Long: Fallen Dynasty,44.39,53.27,https://www.instant-gaming.com/fr/12153-acheter-wo-long-fallen-dynasty-pc-jeu-steam/
Crusader Kings III: Friends & Foes,3.73,4.48,https://www.instant-gaming.com/fr/12815-acheter-crusader-kings-iii-friends-et-foes-mac-pc-jeu-steam/
Asterigos: Curse of the Stars,17.69,21.23,https://www.instant-gaming.com/fr/9566-acheter-asterigos-curse-of-the-stars-pc-jeu-steam/
Rain World: Downpour,6.2,7.44,https://www.instant-gaming.com/fr/13403-acheter-rain-world-downpour-pc-jeu-steam/
Victoria 3,25.49,30.59,https://www.instant-gaming.com/fr/8877-acheter-victoria-3-pc-mac-jeu-steam/
Beyond The Wire,2.65,3.18,https://www.instant-gaming.com/fr/7788-acheter-beyond-the-wire-pc-jeu-steam/
Europa Universalis IV: Lions of the North,7.99,9.59,https://www.instant-gaming.com/fr/12822-acheter-europa-universalis-iv-lions-of-the-north-pc-jeu-steam/
Solasta: Crown of the Magister - Inner Strength,6.37,7.64,https://www.instant-gaming.com/fr/13171-acheter-solasta-crown-of-the-magister-inner-strength-pc-jeu-steam/
One Piece Odyssey Deluxe Edition,55.99,67.19,https://www.instant-gaming.com/fr/12973-acheter-one-piece-odyssey-deluxe-edition-deluxe-edition-pc-jeu-steam/
Elderand,8.89,10.67,https://www.instant-gaming.com/fr/13556-acheter-elderand-pc-jeu-steam/
NBA 2K23 Michael Jordan Edition,37.98,45.58,https://www.instant-gaming.com/fr/12530-acheter-nba-2k23-michael-jordan-edition-michael-jordan-edition-pc-jeu-steam-europe/
FIFA 23,46.99,56.39,https://www.instant-gaming.com/fr/13351-acheter-fifa-23-pc-jeu-steam/
Hello Neighbor 2,16.49,19.79,https://www.instant-gaming.com/fr/7353-acheter-hello-neighbor-2-pc-jeu-steam-europe/
Farming Simulator 22 - Year 2 Season Pass,22.19,26.63,https://www.instant-gaming.com/fr/13271-acheter-farming-simulator-22-year-2-season-pass-pc-mac-jeu-steam/
Crisis Core – Final Fantasy VII - Reunion,31.19,37.43,https://www.instant-gaming.com/fr/12263-acheter-crisis-core-final-fantasy-vii-reunion-pc-jeu-steam-europe/
Resident Evil Village - Winters’ Expansion,13.89,16.67,https://www.instant-gaming.com/fr/12638-acheter-resident-evil-village-winters-expansion-pc-jeu-steam/
